ARTNUM,ORIGINAL_ART_NO,MANUFACTURER,STOCK_QTY
advutcp07-2,UPOS-P07-A100,ADVANTECH,0
advutcpanel2e,UTC-PANEL-MOUNT2E,ADVANTECH,0
advutcpanel3e,UTC-PANEL-MOUNT3E,ADVANTECH,0
advutcpanel4e,UTC-PANEL-MOUNT4E,ADVANTECH,0
advutcpanel5e,UTC-PANEL-MOUNT5E,ADVANTECH,0
advutcpanel6e,UTC-PANEL-MOUNT6E,ADVANTECH,0
advutcsrp0,AIM-SRP0-0000,ADVANTECH,0
advutctable,UTC-TABLE-STAND0E,ADVANTECH,0
advutctable-2,UTC-TABLE-STAND1E,ADVANTECH,1
advutcupos,UTC-UPOS-STAND0E,ADVANTECH,0
advutcved0,AIM-VED0-0422,ADVANTECH,1
advutcved0-2,AIM-VED0-0423,ADVANTECH,0
advutcwall,UTC-WALL-MOUNT5E,ADVANTECH,0
advw11iot24ltsce-inst,968TW1124EL0XE,ADVANTECH,0
advwlkitex,9768ANTN001,ADVANTECH,0
aeccanth,16101.341-0120,ANKER,0
ajaantenna,104117.290.NC,AJAX,50
ajabat,121874.313.NC,AJAX,0
ajabat72b,127879.324.BL,AJAX,5
ajabpd,98614.126.NC,AJAX,0
ajabuth,38214.82.BL,AJAX,0
ajabuthw,38215.82.WH,AJAX,0
ajacccpb,126129.322.BL,AJAX,0
ajacccpf,126133.322.FG,AJAX,0
ajacccpg,126132.322.GP,AJAX,0
ajacccpgr,126131.322.GR,AJAX,0
ajacccpi,126130.322.IV,AJAX,0
ajacccpol,126135.322.OL,AJAX,0
ajacccpoy,126134.322.OY,AJAX,0
ajacccpw,126128.322.WH,AJAX,0
ajach,126118.320.NC,AJAX,0
ajachv,126119.320.NC,AJAX,0
ajadinhold,51170.132.BL,AJAX,48
ajafp,9549.10.WH,AJAX,10
ajafpb,9548.10.BL,AJAX,10
ajaframe5s,52348.141.NC,AJAX,0
ajagbox,125717.314.WH,AJAX,37
ajahub26vps,38213.78.NC,AJAX,0
ajahub2ps,59359.94.NC,AJAX,20
ajahubps,38212.54.NC,AJAX,0
ajajbox,88882.234.BL,AJAX,120
ajajboxw,88881.234.WH,AJAX,194
ajanvrpsu,112255.305.NC,AJAX,20
ajapass1,38217.89.BL-1,AJAX,0
ajapass10,38218.89.BL,AJAX,0
ajapass100,38217.89.BL,AJAX,0
ajapass100w,38221.89.WH,AJAX,0
ajapass10w,38222.89.WH,AJAX,0
ajapass1w,38221.89.WH-1,AJAX,0
ajapass3,38220.89.BL,AJAX,0
ajapass3w,38224.89.WH,AJAX,0
ajasb,107589.293.WH,AJAX,18
ajasbdp,9521.03.WH,AJAX,20
ajasbdpb,9520.03.BL,AJAX,20
ajasbh,9627.01.WH,AJAX,10
ajasbhb,9626.01.BL,AJAX,10
ajasbhs,9567.11.WH,AJAX,10
ajasbhsb,9566.11.BL,AJAX,10
ajasbkp,9585.12.WH,AJAX,10
ajasbkpb,9584.12.BL,AJAX,10
ajasbkpp,33600.83.WH,AJAX,10
ajasbkppb,33599.83.BL,AJAX,10
ajasbkpt,89038.235.WH,AJAX,10
ajasbkptb,89036.235.BL,AJAX,10
ajasbmc,21573.23.WH,AJAX,20
ajasbmcb,21569.23.BL,AJAX,10
ajasbmco,33598.84.WH,AJAX,10
ajasbmcohm,131619.282.WH,AJAX,10
ajasbmp,9638.09.WH,AJAX,20
ajasbmpb,9637.09.BL,AJAX,10
ajasbmpo,21675.33.WH,AJAX,10
ajasbss,"9679.07. WH",AJAX,10
ajasbssb,9678.07.BL,AJAX,10
ajasccpb,126121.321.BL,AJAX,0
ajasccpf,126125.321.FG,AJAX,0
ajasccpg,126124.321.GP,AJAX,0
ajasccpgr,126123.321.GR,AJAX,0
ajasccpi,126122.321.IV,AJAX,0
ajasccpol,126127.321.OL,AJAX,0
ajasccpoy,126126.321.OY,AJAX,0
ajasccpw,126120.321.WH,AJAX,0
ajasiccpb,126137.323.BL,AJAX,0
ajasiccpf,126141.323.FG,AJAX,0
ajasiccpg,126140.323.GP,AJAX,0
ajasiccpgr,126139.323.GR,AJAX,0
ajasiccpi,126138.323.IV,AJAX,0
ajasiccpol,126143.323.OL,AJAX,0
ajasiccpoy,126142.323.OY,AJAX,0
ajasiccpw,126136.323.WH,AJAX,0
ajatag1,38225.90.BL-1,AJAX,64
ajatag10,38226.90.BL,AJAX,0
ajatag100,38225.90.BL,AJAX,7
ajatag100w,38229.90.WH,AJAX,7
ajatag10w,38230.90.WH,AJAX,0
ajatag1w,38229.90.WH-1,AJAX,100
ajatag3,38228.90.BL,AJAX,0
ajatag3w,38232.90.WH,AJAX,0
ameschld,29101.102-0020,ANKER,0
ancashb,13300.217-0070,ANKER,0
ancashw,13300.217-0030,ANKER,0
ankeft479,15100.479-0520,ANKER,0
ankeft480,15100.480-0020,ANKER,0
ankeft482,15100.482-0020,ANKER,0
apg16bx,VPK-27B-16-BX,APG,0
apg330b,ECD330B-BLK,APG,139
apg330bw,ECD330B-WHT,APG,0
apg330mount,ECD330-UCMB,APG,0
apg405b,ECD405-BLK,APG,0
apg410b,ECD410-BLK,APG,0
apg410b-2,ECD410-BLK-8C5N,APG,0
apg410b-blk,ECD410B-BLK,APG,0
apg410lock,ECD410-LOCK,APG,0
apg460b,ECD460B-BLK,APG,3
apg460bss,ECD460B-BLK-SS,APG,3
apg671bl300,NV671-BL300-EUR,APG,15
apg671bl300-2,NV671-BL300-GBP,APG,5
apg671bl600,NV671-BL600-EUR,APG,0
apgcashdints,MIDI-0041,APG,0
apgcd101a,CD-101A,APG,0
apgcd102a,CD-102A,APG,0
apgcups,EPK-460-15J-03-BX,APG,3
apge3000,SL3000-0997,APG,0
apge395,EPK-DG459-C10,APG,0
apge395b,EPK-560-459,APG,0
apge395b2,EPK-560-482,APG,233
apge396,EPK-DG460-C1,APG,0
apge396b,EPK-620-460,APG,0
apge398,EPK-DG482-C20,APG,209
apge398b,EPK-585-482,APG,13
apge398kit,ECE560-DG482-C20,APG,0
apge520b,EB520-EG4541,APG,0
apgjb520,JB520-BL1816-M1,APG,0
apgm237b,MIC237A-BL4522,APG,0
apgm237b-2,MIC237A-BL4522-K041,APG,0
apgrj45adap,22803BK-030,APG,0
apgs237b,STD237A-BL4142,APG,1
apgs237w,STD237A-WH4142,APG,0
apgs2insert,20466PAC,APG,0
apgs4nlay8,PK-15TA-M1-BX,APG,0
apgs4nlay8-uk,PK-15TA-M5-BX,APG,0
apgs4tillcov,PK-14L-M1-R-BX,APG,0
apgt5201,T520-BL1616-M1,APG,0
apgt5205,T520-BL1616-M5,APG,0
apgt520e1,T480-1A-BL1616-M1-E2,APG,0
apgt520w1,T520-CW1616-M1,APG,0
apgvb320,VB320-BL1313-B26,APG,0
apgvb320-5,VB320-BL1616-B13,APG,0
apgvb470,VB470-BL1616-B5-E2,APG,0
asccb,16102.144-0000,ANKER,0
aucdmpm,08517.020-0020,ANKER,0
aucdmpm-2,08517.020-0021,ANKER,0
aucdmst,08517.010-0020,ANKER,0
bbs20,S20-A5LAW,BLUEBIRD,30
bix2000aug,BCD-2000AUG/BEGK,BIXOLON,73
bix2000dsg,BCD-2000DSG/BEXK,BIXOLON,10
bix2003iak,SPP-R200IIIiaK/BEGe,BIXOLON,199
bix2003iakl,SPP-R200IIIiaKL,BIXOLON,0
bix2003wdak,SPP-R200IIIWDaK/BEGe,BIXOLON,4
bix2003wdakl,SPP-R200IIIWDaKL,BIXOLON,2
bix2753aoesg,SRP-275IIIAOESG/BEG,BIXOLON,0
bix2753aopg,SRP-275IIIAOPG,BIXOLON,0
bix2753aosg,SRP-275IIIV2AOSG/BEG,BIXOLON,13
bix2753copg,SRP-275IIICOPG/BEG,BIXOLON,0
bix2753cosg,SRP-275IIICOSG/BEG,BIXOLON,4
bix275cover,RSC-275,BIXOLON,0
bix275wmnt,RWM-275,BIXOLON,0
bix3000k,BCD-3000K/BEG,BIXOLON,10
bix300ll,SRP-S300IIK/BEG,BIXOLON,0
bix300ll-10,SRP-S300IIXWDaK/BEG,BIXOLON,0
